dc,drift_value_kswin,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,17.0,b104e5145a87,5649965172.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492444537.0,2017-04-17 15:55:37
localhost,18.0,b104e5145a87,5650040624.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492446090.0,2017-04-17 16:21:30
localhost,18.0,b104e5145a87,5650151548.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492448369.0,2017-04-17 16:59:29
localhost,18.0,b104e5145a87,5650276037.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492450983.0,2017-04-17 17:43:03
localhost,17.0,b104e5145a87,5650276524.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492450998.0,2017-04-17 17:43:18
localhost,18.0,b104e5145a87,5650297830.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492451428.0,2017-04-17 17:50:28
localhost,19.0,b104e5145a87,5650375530.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492452903.0,2017-04-17 18:15:03
localhost,22.0,b104e5145a87,5650377588.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492452945.0,2017-04-17 18:15:45
localhost,19.0,b104e5145a87,5650766848.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492461022.0,2017-04-17 20:30:22
localhost,16.0,b104e5145a87,5650800865.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492461798.0,2017-04-17 20:43:18
localhost,16.0,b104e5145a87,5650981131.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492465791.0,2017-04-17 21:49:51
localhost,22.0,b104e5145a87,5651273484.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492471718.0,2017-04-17 23:28:38
localhost,19.0,b104e5145a87,5653470399.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492518780.0,2017-04-18 12:33:00
localhost,18.0,b104e5145a87,5653573652.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492521065.0,2017-04-18 13:11:05
localhost,20.0,b104e5145a87,5653574800.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492521088.0,2017-04-18 13:11:28
localhost,19.0,b104e5145a87,5653657046.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492522802.0,2017-04-18 13:40:02
localhost,19.0,b104e5145a87,5653852721.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492526858.0,2017-04-18 14:47:38
localhost,19.0,b104e5145a87,5653964281.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492529185.0,2017-04-18 15:26:25
localhost,19.0,b104e5145a87,5654138322.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492532793.0,2017-04-18 16:26:33
localhost,19.0,b104e5145a87,5654148614.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492533014.0,2017-04-18 16:30:14
localhost,19.0,b104e5145a87,5654235035.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492534776.0,2017-04-18 16:59:36
localhost,19.0,b104e5145a87,5654294130.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492536022.0,2017-04-18 17:20:22
localhost,18.0,b104e5145a87,5654404104.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492538330.0,2017-04-18 17:58:50
localhost,20.0,b104e5145a87,5654551322.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492541236.0,2017-04-18 18:47:16
localhost,18.0,b104e5145a87,5654568734.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492541608.0,2017-04-18 18:53:28
localhost,20.0,b104e5145a87,5654569763.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492541631.0,2017-04-18 18:53:51
localhost,19.0,b104e5145a87,5654653419.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492543488.0,2017-04-18 19:24:48
localhost,18.0,b104e5145a87,5654710925.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492544841.0,2017-04-18 19:47:21
localhost,19.0,b104e5145a87,5654736495.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492545373.0,2017-04-18 19:56:13
localhost,20.0,b104e5145a87,5654785617.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492546468.0,2017-04-18 20:14:28
